DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2,UK Millionaire Maker,DrawNumber
10-Jan-2023,11,13,34,40,42,3,10,"JWFB03037",1597
06-Jan-2023,16,31,35,44,45,4,12,"TVDP83062",1596
03-Jan-2023,20,21,29,45,46,3,10,"VPBM23073",1595
30-Dec-2022,17,34,42,47,48,1,9,"ZSCR30630",1594
27-Dec-2022,19,31,33,34,43,3,5,"JMZT15349",1593
23-Dec-2022,16,17,23,26,35,5,11,"HQCD42504",1592
20-Dec-2022,1,11,17,20,27,4,5,"HPBN01675",1591
16-Dec-2022,2,15,19,35,44,2,7,"JMZT77520",1590
13-Dec-2022,3,9,12,26,30,10,11,"VMZV82706",1589
09-Dec-2022,8,27,31,46,50,1,3,"ZKXW22119",1588
06-Dec-2022,12,20,25,26,27,8,12,"XKZF85935",1587
02-Dec-2022,12,21,35,39,45,6,11,"VJXP00186",1586
29-Nov-2022,15,20,24,35,38,8,12,"VHWZ84768",1585
25-Nov-2022,19,21,35,37,39,2,6,"XGWL62203",1584
22-Nov-2022,21,22,24,29,42,3,11,"TFVX51760",1583
18-Nov-2022,13,16,19,35,41,1,11,"ZCVC19508",1582
15-Nov-2022,13,21,24,31,33,1,12,"HCVM44086",1581
11-Nov-2022,2,19,24,25,44,2,10,"ZZTJ84772",1580
08-Nov-2022,3,5,32,33,50,1,8,"TZTM89596",1579
04-Nov-2022,2,11,37,45,47,2,3,"HXTD14995,JXSN51271,JXSS60732,JXTC14778,JXTH86450,MXSP73821,MXSR06941,MXSS43414,MXSW73290,TXSP75880,TXSQ82361,TXSR64455,TXSW54970,VXSM90494,VXTG16749,XXTG64368,ZWSC63710,ZXSN93656,ZXSS56173,ZXTD07538",1578
01-Nov-2022,19,37,42,47,48,1,6,"XWRZ39862",1577
28-Oct-2022,14,16,21,28,35,1,11,"TTQW20439",1576
25-Oct-2022,7,24,34,39,46,1,6,"HTRH78960",1575
21-Oct-2022,25,26,28,38,40,1,6,"XSQK64503",1574
18-Oct-2022,3,5,13,42,48,1,6,"MRPW81128",1573
14-Oct-2022,24,28,29,34,48,3,7,"TQPT28825",1572
11-Oct-2022,8,23,32,35,40,1,8,"HPPG75814",1571
07-Oct-2022,26,27,42,45,50,1,12,"HNPB46383",1570
04-Oct-2022,3,18,28,42,43,3,12,"XMNG12243",1569
30-Sep-2022,1,2,11,16,26,3,12,"VLMZ56531",1568
27-Sep-2022,4,20,21,34,44,1,3,"TKMT32580",1567
23-Sep-2022,14,15,22,35,48,3,8,"HJML89118",1566
20-Sep-2022,11,21,23,32,48,3,12,"MHLP25577",1565
16-Sep-2022,10,27,36,45,49,3,4,"TGKR07347",1564
13-Sep-2022,9,12,15,40,47,1,11,"VFKF36212",1563
09-Sep-2022,17,23,24,26,27,4,9,"TDJL68325",1562
06-Sep-2022,7,10,22,29,44,4,5,"XCJH16417",1561
02-Sep-2022,7,12,13,20,45,3,12,"HBJD99886",1560
30-Aug-2022,4,6,10,15,19,1,4,"JZHC39437",1559
26-Aug-2022,22,23,25,38,44,11,12,"HXGQ67225",1558
23-Aug-2022,19,26,31,39,48,2,3,"HWGL40944",1557
19-Aug-2022,2,9,13,19,38,2,6,"HVFX25268",1556
16-Aug-2022,10,14,25,32,39,7,8,"TTFN56594",1555
12-Aug-2022,14,17,34,35,42,6,10,"JSFF14595",1554
09-Aug-2022,18,19,21,27,47,5,11,"HRDZ09022",1553
05-Aug-2022,3,29,33,35,44,8,10,"ZPCZ59978",1552
02-Aug-2022,7,18,28,40,48,8,11,"ZPCX03765",1551
29-Jul-2022,3,23,38,43,48,3,8,"VMCC97492",1550
26-Jul-2022,3,5,17,25,27,1,9,"TMCJ55939",1549
22-Jul-2022,16,18,29,32,50,4,11,"HKZV79639,HLBV40337,HLBZ70493,HLBZ97624,HLCD55780,JKZR49852,JKZX76382,JLBP33427,JLBX22889,JLBZ08015,MKZS56053,MLBP32603,TLBV45330,TLBX74150,VLBM95005,VLBR92839,VLBV11038,VLBV62420,ZKZZ61647,ZLBQ79666,ZLBS85547,ZLBT04024",1548
19-Jul-2022,6,23,27,40,41,2,12,"TKZR29187",1547
